cluster_id,description,name,level,parent_cluster_id,pct_total_occurrences,is_cluster,priority
ai_values:l1:9ad47abe-2e5a-452e-8f24-1dd9cdea6e84,"Values focusing on narrative coherence, thematic integrity, and logical consistency within storytelling.",Narrative coherence and consistency,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,0.233,True,C3
ai_values:l1:67b8fedb-25e6-4a2e-a317-e8f053b61771,"Valued clear, concise, and transparent communication with attention to detail in both explanations and presentations, prioritizing simplicity while maintaining descriptive depth and structural organization across verbal, visual, and technical contexts.",Communicative clarity and precision,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,4.319,True,C4
ai_values:l1:f4adc99b-9e01-460c-9db1-415f4524afc3,This group of values were concerned with the value of intellectual clarity as a guiding principle in thinking and decision-making processes.,Intellectual clarity,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,0.025,True,C1
ai_values:l1:a1c400ae-1d57-4618-b067-4f02dc4154d0,"Emphasized precision, accuracy, and rigor across technical, scientific, clinical, and methodological domains. This group of values valued exacting standards in specialized fields, whether through numerical exactness, procedural correctness, structural soundness, or code elegance.",Technical precision across disciplines,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,1.189,True,C4
ai_values:l1:72b41673-e8d3-4622-b8d8-3071a1765b58,"Emphasized precise, accurate, and clear communication, with particular attention to linguistic specificity and fidelity in descriptive and legal contexts.",Linguistic precision,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,0.985,True,C4
ai_values:l1:1c541745-951a-4000-9382-0f9b78d67631,"This group of values emphasized the importance of faithful representation, maintaining the intended meaning, and accurately preserving information from original sources. They centered on authenticity in content delivery and high-quality information transmission.",Information fidelity,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,0.012,True,C1
ai_values:l1:311a2643-8151-41ba-9f96-af6b303f45db,"These values focused on logical coherence, consistency, and clarity in reasoning. It included concepts related to maintaining consistent ethical and logical frameworks without contradictions or inconsistencies. This group emphasized the importance of structural and logical rigor in thought processes.",Logical coherence and consistency,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,0.054,True,C2
ai_values:l1:2135dab7-10b8-4afc-a567-c51211e01528,"These values emphasized thoroughness and exactitude in analytical processes, highlighting the importance of clear, methodical, precise, rigorous, and nuanced approaches to analyzing information and solving problems.",Analytical rigor and precision,1,ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,1.652,True,C4
ai_values:l1:8ac3c5d2-1418-4b54-a664-0dfe2e492765,"This group of values focused on trust and trustworthiness in various contexts, including institutional, interpersonal, and marital relationships. It encompassed both the building and maintenance of trust, as well as concepts of fidelity, faithfulness, and loyalty in personal and professional relationships.",Trust creation and maintenance,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.104,True,C2
ai_values:l1:3044bb81-5a2c-40ec-a3d6-1f74b26d3603,"This group focused on various forms of leadership, including leadership qualities such as being balanced, compassionate, collaborative, supportive, service-oriented, responsible, moral, and ethical.",Leadership qualities,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.067,True,C2
ai_values:l1:4b80ccf4-8bfc-47a1-bd79-fb65898fee8c,"This group of values emphasized values related to constructive and respectful forms of dialogue and communication between people. It included meaningful engagement, receptiveness to others' viewpoints, and collaborative approaches to discourse.",Constructive dialogue,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.384,True,C3
ai_values:l1:9c6e181b-354f-4166-88d9-97d8ccfe58ab,"This group of values represented values centered on showing respect and consideration for others in various contexts, including interpersonal relationships, communication, interaction, and conduct. It emphasized respecting individual dignity, preferences, time, and expertise while maintaining respectful engagement and collaborative dynamics.",Respect and dignity,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.436,True,C3
ai_values:l1:57007123-db64-4398-902a-7e29d975689f,"Values around moral and ethical principles as guides for behavior, including concepts like honor, fair play, justice, responsibility, permissiveness, nuance, instruction, accountability, clarity, conviction, guidance, impartiality, and ethical communication, education, persuasion, relationships, and behavior.",Moral and ethical principles,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.078,True,C2
ai_values:l1:5b423546-0a32-4aff-8bcc-aaf47e304933,"This group of values represented values associated with fair and measured communication across different contexts. They emphasized neutrality, balance in reporting and engagement, considering multiple viewpoints, nuanced discussion, and maintaining responsible discourse. They highlighted the importance of moderation and civil exchange in communicative practices.",Balanced and fair discourse,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.159,True,C3
ai_values:l1:3d28b4eb-76e9-4021-982d-cbcc7f3471db,"These values emphasized nonviolent interaction between people and groups, focusing on peace as both a state to maintain and an active goal to pursue through cooperation, coexistence, and deliberate promotion.",Peace and nonviolence,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.047,True,C1
ai_values:l1:95817815-a64f-4f10-990d-5f9f3a5269cb,"This group of values centered around professional standards and responsibilities, including ethical conduct, commitment to one's role, respect for intellectual contributions, maintaining integrity and dignity in one's work, pedagogical duties, and acknowledging merit.",Professional ethics and integrity,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.42,True,C3
ai_values:l1:331ac2bf-40a2-408b-967f-dfb76ef6799a,"This group focused on different aspects of communication quality, emphasizing directness, transparency, responsibility, openness, and health in communicative exchanges, while also acknowledging the importance of public trust in communication processes.",Transparent and responsible communication,1,ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,0.069,True,C2
ai_values:l1:d1da0655-5bc9-45b1-896a-3e3ad4434ba5,"This group of values represented values related to proper and considerate social conduct, including etiquette, courtesy, tact, politeness, propriety, and appropriate humor. It encompassed formal social norms, graceful interactions, and behavioral standards that demonstrated respect for others in social settings.",Social etiquette,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.294,True,C3
ai_values:l1:f0991acb-46be-4e7e-a4f1-ccb8e4822f8e,The values addressed the importance of balancing traditional approaches with new innovations while performing research and development in a responsible manner.,Balancing innovation and tradition,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.015,True,C1
ai_values:l1:351fdef4-062c-40c0-a002-8f768f7d7417,"This group of values included values centered on respecting, accommodating, and showing sensitivity toward religious beliefs, practices, and traditions. It encompassed religious pluralism, tolerance, inclusivity, freedom, and neutrality in relation to diverse faith expressions.",Religious respect and accommodation,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.143,True,C2
